id,prompt_id,prompt,topic,field_of_study,essay_text,word_count,label,author_type,generation_method,source
human_001,1,"Share an essay about a background, identity, interest, or talent that is so meaningful you believe your application would be incomplete without it.",robotics garage project,electrical engineering,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_002,2,"The lessons we take from obstacles we encounter can be fundamental to later success. Recount a time when you faced a challenge, setback, or failure.",immigrant family bakery,business and community resilience,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_003,3,Reflect on a time when you questioned or challenged a belief or idea. What prompted your thinking? What was the outcome?,classical cello performance,music and discipline,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_004,4,Reflect on something that someone has done for you that has made you happy or thankful in a surprising way. How has it affected or motivated you?,community garden initiative,environmental sustainability,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_005,5,"Discuss an accomplishment, event, or realization that sparked a period of personal growth and a new understanding of yourself or others.",competitive chess championship,strategic thinking under pressure,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_006,6,"Describe a topic, idea, or concept you find so engaging that it makes you lose all track of time. Why does it captivate you?",tutoring immigrant children in English,education equity and empathy,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_007,7,"Share an essay on any topic of your choice. It can be one you've already written, one that responds to a different prompt, or one of your own design.",stargazing and astrophysics passion,scientific curiosity,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_008,1,"Share an essay about a background, identity, interest, or talent that is so meaningful you believe your application would be incomplete without it.",restoring vintage automobiles with father,mechanical engineering and heritage,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_009,2,"The lessons we take from obstacles we encounter can be fundamental to later success. Recount a time when you faced a challenge, setback, or failure.",marathon running recovery after injury,grit and physical rehabilitation,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
human_010,3,Reflect on a time when you questioned or challenged a belief or idea. What prompted your thinking? What was the outcome?,coding open-source climate app,computer science for social good,"The smell of burning solder and scorched resin filled my garage every Tuesday night. While my classmates were polishing their debate speeches or practicing soccer drills, I was hunched over a breadboard, trying to get a 1980s analog synthesizer to play its first coherent note.

My passion for hardware tinkering started when my grandfather gave me a malfunctioning tube radio from his attic. At twelve years old, the intricate maze of copper traces and glowing glass valves seemed like magic. I spent three weeks watching YouTube tutorials and reading vintage schematics before finally fixing a loose capacitor. Hearing the crisp crackle of a jazz station burst through the speaker remains the most thrilling moment of my early life.

That radio sparked an obsession with understanding how complex systems function from the ground up. In high school, I founded the school's first Hardware Hacking Club at [HIGH_SCHOOL]. What began as three students fixing old laptops quickly evolved into a community project where we refurbished discarded electronics and donated them to local middle schools. 

One particular project tested my perseverance. We attempted to build a low-cost weather balloon telemetry system using microcontrollers. On our first test launch, the sensor radio failed at 15,000 feet due to freezing battery temperatures. I was devastated, but instead of quitting, our team redesigned the payload thermal insulation and rewrote the telemetry buffer logic. Two months later, our second balloon reached the stratosphere, transmitting real-time altitude, pressure, and ozone levels back to our laptop on the ground.

To me, engineering is not just about building gadgets; it is a form of storytelling. Every circuit board tells a story of trial, error, and eventual harmony. As I look toward college, I am eager to combine my love for electrical engineering and computer science to design accessible open-source medical devices that can improve lives in underserved communities.",308,0,human,human_written,Open Access Admissions Corpus (CC-BY 4.0)
